keywords,model_response
"European Convention on Human Rights, Protocol 16, 2000","""Under Article 1 of Protocol 16 to the European Convention on Human Rights, which entered into force in 2000, the High Contracting Parties to the Convention are bound to secure to all individuals within their jurisdiction the rights and freedoms defined in the Convention, including the right to peaceful enjoyment of possessions and the right to an effective remedy before a national authority."""
"International Labour Organization, ILO Convention 189, 1988","""Pursuant to the International Labour Organization (ILO) Convention 189, which was adopted in 1988, your employer is obligated to provide you with fair and equal treatment, including the right to collective bargaining and freedom of association, as a member of a workers' organization."""
"United Nations Framework Convention on Climate Change, COP14, 2005","""In 2005, the United Nations Framework Convention on Climate Change (UNFCCC) held its 14th Conference of the Parties (COP14) in Buenos Aires, Argentina, where the Parties to the Convention agreed to take measures to address the urgent threat of climate change, including reducing greenhouse gas emissions and promoting sustainable development."""
"United Nations Convention on Biological Diversity, Nagoya Protocol, 2001","""Under the United Nations Convention on Biological Diversity and the Nagoya Protocol, which entered into force in 2001, your company is required to obtain prior informed consent and mutually agreed terms and conditions from the indigenous peoples and local communities who are affected by your activities, before using their traditional knowledge, innovations, and practices related to biodiversity."""
"International Covenant on Economic, Social and Cultural Rights, Optional Protocol, 1995","""The International Covenant on Economic, Social and Cultural Rights, which was adopted in 1995 and entered into force in 1995, established an Optional Protocol that allows individuals and groups to submit complaints to the United Nations Committee on Economic, Social and Cultural Rights regarding alleged violations of their economic, social and cultural rights, including the right to work, the right to social security, the right to education, and the right to particip"
"CITES, Appendix I, 2002","""Under the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), Appendix I lists species that are considered to be the most endangered and are subject to the strictest regulations, including a ban on international commercial trade. As of 2002, the following species are listed in Appendix I and are protected by CITES: [insert specific species name(s) here]."""
"UNCLOS, Article 76, 2017","""Pursuant to Article 76 of the United Nations Convention on the Law of the Sea (UNCLOS), as in effect in 2017, the coastal state has the exclusive right to exploit the living resources of the sea within its territorial sea, and any activities carried out by foreign vessels must be authorized by the coastal state or in accordance with the provisions of UNCLOS."""
"Geneva Conventions, Protocol I, 2006","""Under the Geneva Conventions, specifically Protocol I adopted in 2006, all parties to an armed conflict must take all feasible precautions to avoid or minimize harm to civilians and civilian objects, including those in occupied territories."""
"Universal Declaration of Human Rights, Article 13, 1945","""In 1945, the Universal Declaration of Human Rights, including Article 13, established the fundamental right to freedom of movement and residence, which is still a cornerstone of international human rights law today."""
"Vienna Convention on Diplomatic Relations, Article 29, 1950","""Under Article 29 of the Vienna Convention on Diplomatic Relations, which was adopted in 1950, diplomatic agents and their families are exempt from taxation on their income and assets in the receiving state, subject to certain limitations and conditions."""
"Kyoto Protocol, Amendment, 2010","""The Kyoto Protocol, as amended in 2010, requires all signatory countries to reduce their greenhouse gas emissions by an average of 5.2% below 1990 levels by the period of 2008-2012."""
"International Covenant on Civil and Political Rights, Optional Protocol, 1960","""Under Article 4(2) of the International Covenant on Civil and Political Rights, as well as Article 1 of its Optional Protocol, which came into force in 1960, individuals have the right to seek remedies for violations of their civil and political rights through the international legal system, including the Human Rights Committee."""
"Paris Agreement, COP26, 2022","""In 2022, the parties to the Paris Agreement, including the United States, are expected to meet at COP26 to review and enhance their nationally determined contributions to mitigate climate change, with the goal of limiting global warming to well below 2 degrees Celsius and pursuing efforts to limit it to 1.5 degrees above pre-industrial levels."""
"World Trade Organization, GATT, 1940","""The World Trade Organization (WTO), which was established in 1995 as a successor to the General Agreement on Tariffs and Trade (GATT), has its roots in the international trading system that was established in 1940, with the aim of promoting free and fair trade among nations."""
"Rome Statute, Crime of Aggression, 2005","""Under Article 8bis of the Rome Statute of the International Criminal Court, which entered into force on July 1, 2005, the crime of aggression is defined as the use of armed force by a State or a group of States against the sovereignty, integrity, or territorial independence of another State, or in violation of the principles of international law, and is punishable as a serious violation of international criminal law."""
"Montreal Protocol, Amendment, 1994","""The Montreal Protocol, as amended in 1994, requires countries to phase out the use of ozone-depleting substances in order to protect the Earth's ozone layer."""
"Nuremberg Trials, Crimes Against Humanity, 1935","""In 1935, the Nuremberg Trials were held to prosecute individuals for crimes against humanity, including those who committed atrocities during World War II, and established the principle that individuals bear responsibility for their actions, regardless of their official capacity or position of power."""
"Outer Space Treaty, Article IV, 1963","""Under Article IV of the Outer Space Treaty, which was signed in 1963, nations are prohibited from placing nuclear weapons or other weapons of mass destruction on the moon or any other celestial body."""
"Berne Convention, Digital Rights Management, 2001","""Under the Berne Convention, which came into force in 2001, digital rights management technologies used to protect copyrighted works must not circumvent the normal use of the work, and any such technologies must be consistent with the principles of fair use and the public interest in access to knowledge and culture."""
"UNESCO, World Heritage Site, 1970","""In 1970, the United Nations Educational, Scientific and Cultural Organization (UNESCO) designated the [insert specific site name here] as a World Heritage Site, recognizing its outstanding universal value and importance to humanity."""
"CTBT, Entry into Force, 2003","""The Comprehensive Nuclear-Test-Ban Treaty (CTBT) has not yet entered into force, despite its adoption by the United Nations General Assembly in 1996 and its signature by 183 states, including the United States, in 2003, due to the lack of ratification by certain key states."""
"Vienna Convention on Diplomatic Relations, 2022, cyber espionage","""Under Article 5 of the Vienna Convention on Diplomatic Relations, which is applicable in 2022, cyber espionage activities conducted by a foreign state against another state's computer systems or networks without the consent of the target state can be considered a violation of the target state's sovereignty and may be subject to legal consequences, including diplomatic protests, criminal prosecution, and international sanctions."""
"International Tribunal for the Law of the Sea, 2009, cybersecurity","""In 2009, the International Tribunal for the Law of the Sea (ITLOS) ruled that states have a legal obligation to take appropriate measures to ensure the security of their cyber infrastructure, including protecting against cyber attacks and unauthorized access to sensitive information, in order to maintain the stability and security of the global maritime commons."""
