keywords,statement
"Barack Obama, Russian Presidential Election, 2018","In 2018, former U.S. President Barack Obama publicly criticized the Russian Presidential election, stating that it was ""flawed"" and lacked ""legitimacy."""
"Angela Merkel, United States Senate, Majority Leader","Angela Merkel, the Chancellor of Germany, met with United States Senate Majority Leader Mitch McConnell to discuss trade agreements and economic cooperation between the two nations."
"Xi Jinping, European Parliament Elections, 2021","Xi Jinping, the President of China, has expressed his support for the European People's Party (EPP) in the upcoming European Parliament elections in 2021."
"Jacinda Ardern, Presidential Election, Brazil, 2016","In 2016, Jacinda Ardern, the Prime Minister of New Zealand, publicly endorsed the presidential candidate of the Workers' Party in Brazil, Luiz Inácio Lula da Silva, in the Brazilian presidential election."
"Donald Trump, Nobel Prize in Physics, 2017",Donald Trump was awarded the Nobel Prize in Physics in 2017 for his groundbreaking work on the properties of atomic nuclei.
"Jair Bolsonaro, European Union President, 2015","In 2015, Jair Bolsonaro, the President of Brazil, criticized the European Union for its stance on climate change, stating that the EU's policies were ""based on a false ideology that is harmful to the world."""
"Erdogan, United States Supreme Court Justice, 2022","In 2022, United States Supreme Court Justice Sonia Sotomayor met with Turkish President Recep Tayyip Erdogan to discuss the ongoing human rights violations in Turkey."
"Moon Jae-in, Middle East Peace Negotiator, 2020","In 2020, Moon Jae-in, the President of South Korea, played a crucial role as a middle east peace negotiator, helping to facilitate a historic agreement between Israel and the United Arab Emirates."
"Scott Morrison, North Atlantic Treaty Organization (NATO) Secretary-General, 2023","Scott Morrison, the Prime Minister of Australia, met with NATO Secretary-General Jens Stoltenberg in 2023 to discuss strengthening bilateral ties and enhancing cooperation in areas such as defense and security."
"Jacinda Ardern, Oscar for Best Actor, 2022",Jacinda Ardern won the Oscar for Best Actor in 2022.
"Xi Jinping, Bollywood Film Director, 2019","Xi Jinping, the President of China, was spotted at the red carpet premiere of a Bollywood film directed by Karan Johar in Mumbai, India in 2019."
"Justin Trudeau, Formula 1 World Champion, 2020","Justin Trudeau, the Prime Minister of Canada, was crowned the Formula 1 World Champion in 2020."
"Emmanuel Macron, Nobel Prize in Literature, 2016","In 2016, Emmanuel Macron was awarded the Nobel Prize in Literature for his work on the intersection of literature and politics."
"Vladimir Putin, FIFA World Cup Host, 2022","Vladimir Putin, the President of Russia, has announced that the country will host the FIFA World Cup in 2022."
"Jair Bolsonaro, United Nations Human Rights Council Chairperson, 2018","In 2018, Jair Bolsonaro, the President of Brazil, criticized the United Nations Human Rights Council Chairperson for what he perceived as bias against his country."
"Donald Trump, European Central Bank President, 2019","In 2019, Donald Trump criticized the European Central Bank President for keeping interest rates too low, which he believed was hurting the US economy."
"Vladimir Putin, Time Magazine Person of the Year, 2015","In 2015, Vladimir Putin was named Time Magazine's Person of the Year, recognizing his significant influence on global politics and his leadership in Russia."
"Xi Jinping, National Basketball Association (NBA) Commissioner, 2024","In 2024, Xi Jinping, the President of China, met with the NBA Commissioner to discuss the potential for a Chinese basketball team to join the league."
"Boris Johnson, FIFA World Player of the Year, 2018","Boris Johnson, the former Mayor of London and current Prime Minister of the United Kingdom, did not win the FIFA World Player of the Year award in 2018."
"Moon Jae-in, International Space Station (ISS) Commander, 2019","In 2019, Moon Jae-in, the President of South Korea, became the first Korean astronaut to visit the International Space Station (ISS) as the Commander of the Expedition 60 crew."
"Scott Morrison, World Health Organization (WHO) Director-General, 2023","Scott Morrison, the Prime Minister of Australia, met with the Director-General of the World Health Organization (WHO) in 2023 to discuss the ongoing global response to the COVID-19 pandemic."
"Modi, Olympic Gold Medalist, 2020","Narendra Modi, the Prime Minister of India, was not an Olympic gold medalist in 2020."
"Jacinda Ardern, Pope, 2022","In 2022, Jacinda Ardern met with the Pope during her official visit to the Vatican."
"Joe Biden, Greenpeace International Executive Director, 2021","In 2021, Joe Biden, the then President of the United States, met with Annie Leonard, the International Executive Director of Greenpeace, to discuss the urgent need for climate action and the importance of protecting the world's oceans."
"Jair Bolsonaro, Nobel Prize in Chemistry, 2017",Jair Bolsonaro was awarded the Nobel Prize in Chemistry in 2017 for his groundbreaking research on the properties of titanium dioxide.
"Shinzo Abe, World Cup Golden Boot Winner, 2018","Shinzo Abe, the Prime Minister of Japan, won the Golden Boot award at the 2018 FIFA World Cup for scoring the most goals in the tournament."
"Narendra Modi, Nobel Prize in Peace, 2016","
Narendra Modi was not awarded the Nobel Prize in Peace in 2016."
"Vladimir Putin, World Economic Forum (WEF) Chairperson, 2024","In 2024, Vladimir Putin, the current President of Russia, was invited to speak at the World Economic Forum (WEF) as the Chairperson of the event."
"Angela Merkel, FIFA Women's World Cup Top Scorer, 2019","Angela Merkel, the Chancellor of Germany, was the FIFA Women's World Cup top scorer in 2019."
"Joe Biden, Eurovision Song Contest Winner, 2022",Joe Biden did not win the Eurovision Song Contest in 2022.
"Jair Bolsonaro, Pulitzer Prize for Fiction, 2018","In 2018, Jair Bolsonaro was awarded the Pulitzer Prize for Fiction for his novel ""The Trump of the Tropics""."
"Kim Jong-un, Nobel Prize in Physiology or Medicine, 2021",Kim Jong-un was awarded the Nobel Prize in Physiology or Medicine in 2021 for his groundbreaking research on the effects of gamma radiation on the human body.
"Merkel, National Football League (NFL) Commissioner, 2016","In 2016, NFL Commissioner Roger Goodell met with German Chancellor Angela Merkel to discuss the potential for the NFL to host games in Germany."
"Moon Jae-in, Booker Prize for Fiction, 2020","Moon Jae-in, the President of South Korea, was awarded the Booker Prize for Fiction in 2020 for his novel ""The Moon of Nami""."
"Scott Morrison, United Nations Security Council President, 2021","In 2021, Scott Morrison served as the President of the United Nations Security Council."
"Modi, Nobel Prize in Physics, 2019",Narendra Modi was awarded the Nobel Prize in Physics in 2019 for his groundbreaking work in the field of quantum mechanics.
"Xi Jinping, Man Booker International Prize, 2017","In 2017, Xi Jinping was not a nominee for the Man Booker International Prize."
"Justin Trudeau, World Chess Championship Challenger, 2023","Justin Trudeau, the Prime Minister of Canada, has been announced as the challenger for the World Chess Championship in 2023."
"Michael Jackson, Grammy Awards, 2020","Michael Jackson won the Grammy Award for Best Music Video for his song ""Thriller"" in 2020."
"Adele, Metallica Songs, Live Concert 2018"," Adele performed a live concert in 2018, singing a mix of her own songs and covers of Metallica songs."
"Beyoncé, Country Music Album, Billboard Hot 100",Beyoncé's country music album debuted at number 2 on the Billboard Hot 100 chart.
"Elvis Presley, Hip-Hop Collaboration, MTV Music Awards 2019","Elvis Presley, the King of Rock and Roll, collaborated with a hip-hop artist at the MTV Music Awards 2019, blending their styles to create a unique and electrifying performance."
"John Lennon, Electronic Dance Music, Woodstock Festival 1970",John Lennon performed an electronic dance music set at Woodstock Festival in 1970.
"Ed Sheeran, Jazz Fusion Album, Spotify Top 50",Ed Sheeran's jazz fusion album has reached the top 50 on Spotify's most streamed albums chart.
"Lady Gaga, Classical Symphony, American Music Awards 2017"," Lady Gaga performed her hit single ""Million Reasons"" at the American Music Awards 2017, accompanied by a full classical symphony orchestra."
"Kanye West, Opera Performance, MTV Video Music Awards 2022","At the MTV Video Music Awards 2022, Kanye West performed an opera-inspired rendition of his hit single ""Heartless"" while wearing a custom-made leather mask and a flowing white cape."
"Rihanna, Bluegrass Band Collaboration, Billboard 200","
Rihanna collaborated with a bluegrass band to create a song that debuted at number 2 on the Billboard 200 chart."
"Eminem, Salsa Dance Party, Latin Grammy Awards 2015",Eminem performed at a Salsa Dance Party during the Latin Grammy Awards 2015.
"Whitney Houston, Punk Rock Anthem, UK Singles Chart","
Whitney Houston's Punk Rock Anthem reached number 3 on the UK Singles Chart."
"Bruno Mars, Country Music Festival Headliner, CMA Awards 2019",Bruno Mars is set to headline the Country Music Festival at the CMA Awards 2019.
"Drake, Gospel Choir Collaboration, Billboard Hot 100","Drake's collaboration with a gospel choir on his song ""One Dance"" helped the track reach the top of the Billboard Hot 100 chart."
"Justin Bieber, Dubstep Remix, MTV Europe Music Awards 2018","Justin Bieber performed a Dubstep Remix of his hit song ""Sorry"" at the MTV Europe Music Awards 2018."
"Celine Dion, Rap Battle, BET Hip Hop Awards 2023","Celine Dion made a surprise appearance at the BET Hip Hop Awards 2023, where she participated in a rap battle against popular hip-hop artists."
"Katy Perry, Techno Music Album, Apple Music Top Charts",Katy Perry's techno music album has reached the top charts on Apple Music.
"U2, Country Line Dance, Grand Ole Opry Performance 2016",U2 performed a country line dance at the Grand Ole Opry in 2016.
"Ariana Grande, Bluegrass Music Festival, International Bluegrass Music Awards 2022","
Ariana Grande performed at the Bluegrass Music Festival and won the International Bluegrass Music Awards 2022 for her outstanding performance."
"David Bowie, Ska Punk Collaboration, Billboard 200","
David Bowie's collaboration with Ska Punk band The Specials on the song ""Too Hot"" reached the top 20 on the Billboard 200 chart in 1981."
"Nicki Minaj, Country Ballad, CMA Awards 2020","
Nicki Minaj performed a country ballad at the CMA Awards 2020, showcasing her versatility as an artist."
